"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","13/605","130/21273",0.1,3.51619834710744,4.9234084538697,8.73951868568815e-05,0.00650384549122846,0.00595567026556843,"IFI16/BRCA2/PML/AEN/BRCA1/FNIP2/MAEL/SHISA5/POLB/CXCL12/PIK3R1/BCL2/ELL3",13
"GO:0032728","positive regulation of interferon-beta production","8/605","51/21273",0.156862745098039,5.51560525036461,5.52383281034645,8.84759477565558e-05,0.00650384549122846,0.00595567026556843,"OAS2/OAS3/IFIH1/OAS1/ISG15/RIGI/IRF7/TLR7",8
"GO:0032481","positive regulation of type I interferon production","11/605","96/21273",0.114583333333333,4.02897727272727,5.08899513827353,8.88973590070909e-05,0.00650384549122846,0.00595567026556843,"OAS2/OAS3/IFIH1/OAS1/ISG15/DHX58/RIGI/IRF7/TLR7/KPNA2/STAT1",11
"GO:0098586","cellular response to virus","11/605","97/21273",0.11340206185567,3.98744142455483,5.04540373969527,9.77377653537891e-05,0.00703711910547281,0.00644399702733587,"IFIH1/IFI6/OAS1/CXCL10/TRIM6/TLR7/POU2AF1/IFNLR1/IFNGR1/ADAR/JAK2",11
"GO:0002230","positive regulation of defense response to virus by host","7/605","39/21273",0.179487179487179,6.31112523839797,5.67983294471283,0.000101297073404154,0.0071794300775194,0.00657431334955248,"TRIM22/RIGI/TRIM6/DTX3L/PML/PARP9/STAT1",7
"GO:0030595","leukocyte chemotaxis","20/605","271/21273",0.0738007380073801,2.59498032996859,4.5210808435286,0.000105095163872398,0.00733402558961841,0.00671587881199161,"CCL2/STAP1/CXCL13/CXCL10/CCR6/CXCL9/CCL8/CXCL11/CCL7/CXCR5/CCL13/SWAP70/CCR1/DAPK2/MAPK1/CXCL12/SAA1/SLAMF8/PTPRO/CCL28",20
"GO:0050688","regulation of defense response to virus","10/605","82/21273",0.121951219512195,4.28804676476517,5.10389591624024,0.000109117848259982,0.00749937211677696,0.00686728914248629,"HERC5/TRIM22/RIGI/TRIM6/DTX3L/PML/TRIM38/PARP9/IFNLR1/STAT1",10
"GO:0051235","maintenance of location","18/605","233/21273",0.0772532188841202,2.71637640549072,4.50713173230866,0.000129852913161026,0.0087912360313196,0.00805026858339997,"SP100/CXCL10/CXCL9/CD19/PML/CXCL11/TMEM232/NR5A1/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1/SRGN/UVRAG",18
"GO:0060333","type II interferon-mediated signaling pathway","6/605","29/21273",0.206896551724138,7.27489313194642,5.78521907317214,0.000140283638621898,0.00935774389395483,0.00856902845204348,"SP100/PARP14/PARP9/IFNGR1/STAT1/JAK2",6
"GO:0051279","regulation of release of sequestered calcium ion into cytosol","10/605","86/21273",0.116279069767442,4.0886027291947,4.91031288510041,0.000163181558995243,0.0107274137913395,0.00982325601518274,"CXCL10/CXCL9/CD19/CXCL11/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2",10
"GO:0060760","positive regulation of response to cytokine stimulus","10/605","87/21273",0.114942528735632,4.04160729552579,4.86374622347715,0.000179758362881394,0.0116483419147144,0.0106665639087215,"IFIH1/AXL/ZBP1/RIGI/PARP14/TRIM6/CD40/IRF7/PARP9/C1QTNF4",10
"GO:0046651","lymphocyte proliferation","25/605","399/21273",0.06265664160401,2.20313179643323,4.15077732731635,0.000210224663713465,0.0133590958488619,0.0122331273135638,"EPHB2/CR2/CD22/MS4A1/CD40/FCRL3/CD19/FLT3/CD28/IRS2/TNFRSF13C/IL4I1/CD40LG/CD79A/VSIG4/ADA/MEF2C/IL7R/IL2RA/AHR/TNFRSF9/JAK2/PAWR/BCL2/BTN2A2",25
"GO:0031348","negative regulation of defense response","26/605","423/21273",0.0614657210401891,2.1612566672528,4.12741366369505,0.000213830223034449,0.0133590958488619,0.0122331273135638,"USP18/OAS3/OAS1/ISG15/DHX58/PARP14/IFI16/CD200/NMI/TRIM38/SERPING1/NT5E/STAT2/SAMHD1/PARP1/VSIG4/ADA/ADAR/VPS35/IL2RA/PLCG1/AHR/SAA1/SLAMF8/TRIM21/TRAFD1",26
"GO:0051651","maintenance of location in cell","17/605","222/21273",0.0765765765765766,2.69258431985705,4.33733591004985,0.000219802984282348,0.0133590958488619,0.0122331273135638,"SP100/CXCL10/CXCL9/CD19/PML/CXCL11/NR5A1/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1/SRGN/UVRAG",17
"GO:0006874","intracellular calcium ion homeostasis","22/605","331/21273",0.0664652567975831,2.33705026091733,4.19454903171106,0.000219852121799961,0.0133590958488619,0.0122331273135638,"CXCL10/CD40/CXCL9/CD19/CCL8/PML/CXCL11/CCL7/CCL13/DDIT3/PRKCE/ASPH/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/ITPR1/CNR1/NPTN/BCL2",22
"GO:0006816","calcium ion transport","29/605","496/21273",0.0584677419354839,2.05584177552653,4.07081046910928,0.000220884521310548,0.0133590958488619,0.0122331273135638,"CCL2/CXCL10/MS4A1/FCRL3/CXCL9/CYSLTR1/CD19/CCL8/PML/CXCL11/TSPAN13/DDIT3/GRIN3A/NALF2/PRKCE/P2RX5/ASPH/TMC2/CCR1/ANK2/UBASH3B/PLCG1/CXCL12/ATP1A2/ITPR1/CACHD1/ANO9/BCL2/CAMK2G",29
"GO:0050854","regulation of antigen receptor-mediated signaling pathway","10/605","90/21273",0.111111111111111,3.9068870523416,4.72811795032306,0.000238219953641624,0.0142179698647159,0.0130196113167569,"STAP1/CD22/FCRL3/CD72/CD19/ADA/GBP1/CD160/PAWR/BTN2A2",10
"GO:0071216","cellular response to biotic stimulus","22/605","334/21273",0.0658682634730539,2.31605879150789,4.14766028981436,0.000249388439897343,0.0146226877888522,0.0133902176772512,"CMPK2/AXL/TRIM5/EPHB2/CCL2/STAP1/CXCL13/CXCL10/CD40/CXCL9/DDIT3/PRKCE/KMO/TLR10/CHMP5/MEF2C/MAPK1/AHR/DAB2IP/JAK2/TIGAR/CCL28",22
"GO:0050691","regulation of defense response to virus by host","8/605","59/21273",0.135593220338983,4.76772657234907,4.95823063881593,0.000252458241477829,0.0146226877888522,0.0133902176772512,"TRIM22/RIGI/TRIM6/DTX3L/PML/PARP9/IFNLR1/STAT1",8
"GO:0001662","behavioral fear response","7/605","45/21273",0.155555555555556,5.46964187327824,5.13519650934987,0.000257895728198452,0.0146226877888522,0.0133902176772512,"EPHB2/GNG7/MEF2C/LARGE1/ATP1A2/BCL2/LYPD1",7
"GO:0044786","cell cycle DNA replication","7/605","45/21273",0.155555555555556,5.46964187327824,5.13519650934987,0.000257895728198452,0.0146226877888522,0.0133902176772512,"BRCA2/PCNA/GINS1/MCM6/E2F7/MCM3/FEN1",7
"GO:0071887","leukocyte apoptotic process","13/605","145/21273",0.0896551724137931,3.15245369051012,4.44960281795415,0.000262268313817839,0.014687025573799,0.0134491327657595,"AXL/IRF7/IRS2/ADA/GIMAP8/MEF2C/IL7R/IL2RA/CXCL12/CTSL/PIP/BCL2/BIRC7",13
