"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097530","granulocyte migration","15/534","162/21273",0.0925925925925926,3.68861839367457,5.51205008002579,1.4998223202322e-05,0.00269843032448443,0.00231222607702464,"DAPK2/CSF3R/C5AR1/VAV1/RIPOR2/PREX1/IL17RA/MYD88/MAPK3/JAML/S100A9/IL1R1/CXCR1/PIK3CD/MAPK1",15
"GO:0042327","positive regulation of phosphorylation","29/534","492/21273",0.0589430894308943,2.34812048963186,4.85466117791596,2.1484295133063e-05,0.00371076745538264,0.00317967567969333,"CAMKK2/RAF1/NEDD9/CSNK1D/HCLS1/RALB/PRKCD/SLCO3A1/ITGA5/PTK2B/LIMK2/IL6R/PIK3R5/RIPK3/PLCG2/MAP3K5/LYN/FLOT1/ARHGEF2/GRB10/SEMA4D/DHX34/TXN/MAPRE3/RASGRP1/PLAUR/CCND3/MAPK1/STRADA",29
"GO:0031623","receptor internalization","15/534","169/21273",0.0887573964497041,3.53583538328569,5.31083618309613,2.47942844956003e-05,0.00403968905005888,0.00346152141853123,"NUMB/ARRB2/RALB/RAB31/PLCG2/ANKRD13A/NECAB2/FLOT1/GRB2/SNX1/DNM2/CXCR1/GRK2/CD63/HGS",15
"GO:0032868","response to insulin","23/534","347/21273",0.0662824207492795,2.64049800861315,4.94399723635659,2.53520588538365e-05,0.00403968905005888,0.00346152141853123,"RAF1/PRKCD/PTPRE/CFLAR/NDEL1/SP1/RAB31/MAPK14/ZNF592/TLR2/LYN/MAPK3/GRB2/GRB10/FOS/PRKCB/NUCKS1/INHBB/WDTC1/ZBTB7B/PRKCZ/MAPK1/USF1",23
"GO:0002286","T cell activation involved in immune response","15/534","170/21273",0.0882352941176471,3.5150363516193,5.28296231450401,2.65780041670251e-05,0.00403968905005888,0.00346152141853123,"STAT3/BCL6/STAT6/IL6R/RARA/SLC11A1/HLX/APBB1IP/PSEN1/IL18R1/CLEC4E/SEMA4A/ZBTB7B/PRKCZ/BCL3",15
"GO:0002573","myeloid leukocyte differentiation","21/534","302/21273",0.0695364238410596,2.77012798571322,4.97140854613588,2.81403301339951e-05,0.00403968905005888,0.00346152141853123,"TFE3/NEDD9/HCLS1/CFLAR/TRIB1/GAB2/RARA/LILRB3/FOSL2/MAPK14/TLR2/INPP5D/LYN/MYD88/PSEN1/THOC5/FOS/FADD/ACIN1/PIK3CD/GBA1",21
"GO:0071621","granulocyte chemotaxis","13/534","132/21273",0.0984848484848485,3.92334865509023,5.40612025765819,2.87590332165618e-05,0.00403968905005888,0.00346152141853123,"DAPK2/CSF3R/C5AR1/VAV1/RIPOR2/PREX1/IL17RA/MAPK3/JAML/S100A9/CXCR1/PIK3CD/MAPK1",13
"GO:0042113","B cell activation","21/534","303/21273",0.0693069306930693,2.76098564912671,4.95403192159929,2.95436145939451e-05,0.00403968905005888,0.00346152141853123,"KLF6/STAT5B/PRKCD/BCL6/PTK2B/STAT6/AKIRIN2/FOSL2/PLCG2/THEMIS2/INPP5D/LYN/PCYT1A/PTPN6/NFAM1/PRKCB/PIK3CD/RASGRP1/LAPTM5/PELI1/BCL3",21
"GO:1990266","neutrophil migration","12/534","114/21273",0.105263157894737,4.19337670017741,5.48574850575807,2.99374825386485e-05,0.00403968905005888,0.00346152141853123,"DAPK2/CSF3R/C5AR1/VAV1/RIPOR2/PREX1/MYD88/JAML/S100A9/IL1R1/CXCR1/PIK3CD",12
"GO:0002292","T cell differentiation involved in immune response","12/534","116/21273",0.103448275862069,4.12107710189849,5.40863076191481,3.56314900110305e-05,0.00466232648083726,0.0039950458497216,"STAT3/BCL6/STAT6/IL6R/RARA/HLX/IL18R1/CLEC4E/SEMA4A/ZBTB7B/PRKCZ/BCL3",12
"GO:0006606","protein import into nucleus","15/534","175/21273",0.0857142857142857,3.41460674157303,5.1466623149741,3.73047829006059e-05,0.00473770742837695,0.00405963813918358,"STAT3/HCLS1/PRKCD/E2F3/AKIRIN2/MAPK14/KPNB1/PSEN1/PPP1R10/IPO5/NUP50/NUP133/BCL3/NUP98/NFKBIA",15
"GO:0038094","Fc-gamma receptor signaling pathway","7/534","38/21273",0.184210526315789,7.33840922531047,6.27518921442072,3.87833232263089e-05,0.00478475399117719,0.00409995131249551,"FGR/PRKCD/VAV1/FCGR2A/LYN/HCK/CLEC4E",7
"GO:0007033","vacuole organization","19/534","265/21273",0.0716981132075472,2.8562433750265,4.87917487662359,4.43876971513484e-05,0.00532405767498674,0.00456206887388859,"TFE3/MTMR3/RALB/RAB7A/NSFL1C/ATP6V0B/ARSG/PSEN1/ATP6V0A1/SH3GLB1/VMP1/UBXN2B/ATG16L2/CHMP3/GBA1/TBC1D14/MFN2/LAPTM5/FHIP1B",19
"GO:0006997","nucleus organization","14/534","158/21273",0.0886075949367089,3.52986772863035,5.12167127488273,4.67789549048058e-05,0.00537421736033644,0.00460504961399834,"NSFL1C/SRPK1/TMEM43/HMGB2/UBXN2B/H3-3B/CHMP3/PRKCB/BAZ2A/IRAG2/NOLC1/LMNB1/NUP133/NUP98",14
"GO:0050853","B cell receptor signaling pathway","10/534","84/21273",0.119047619047619,4.74250936329588,5.51478001381548,4.77023094104731e-05,0.00537421736033644,0.00460504961399834,"BMX/PLCG2/LYN/GRB2/PTPN6/NFAM1/PRKCB/PIK3CD/MAPK1/NFKBIA",10
"GO:0032640","tumor necrosis factor production","18/534","245/21273",0.073469387755102,2.92680577849117,4.86746551121765,5.10579341887206e-05,0.00537421736033644,0.00460504961399834,"STAT3/ARRB2/LILRA2/RARA/PLCG2/FCGR2A/TLR2/SIRPA/MYD88/PSEN1/ARHGEF2/PTPN6/FADD/MAPKAPK2/IFNGR1/ZFP36/TLR1/BCL3",18
"GO:0032680","regulation of tumor necrosis factor production","18/534","245/21273",0.073469387755102,2.92680577849117,4.86746551121765,5.10579341887206e-05,0.00537421736033644,0.00460504961399834,"STAT3/ARRB2/LILRA2/RARA/PLCG2/FCGR2A/TLR2/SIRPA/MYD88/PSEN1/ARHGEF2/PTPN6/FADD/MAPKAPK2/IFNGR1/ZFP36/TLR1/BCL3",18
"GO:0072593","reactive oxygen species metabolic process","19/534","268/21273",0.0708955223880597,2.82427050142546,4.82254373143593,5.1685414109584e-05,0.00537421736033644,0.00460504961399834,"NCF4/ALOX5/PRKCD/NCF2/CFLAR/VAV1/PTK2B/RIPK3/PREX1/PLCG2/MAPK14/SIRPA/ITGAM/NCF1/GRB2/PDK3/ACOX1/G6PD/TXN",19
"GO:0001934","positive regulation of protein phosphorylation","27/534","465/21273",0.0580645161290323,2.31312069590431,4.59406185154681,5.31183878591423e-05,0.00537421736033644,0.00460504961399834,"CAMKK2/RAF1/NEDD9/CSNK1D/HCLS1/RALB/PRKCD/SLCO3A1/ITGA5/PTK2B/LIMK2/IL6R/PIK3R5/RIPK3/PLCG2/MAP3K5/LYN/FLOT1/ARHGEF2/SEMA4D/TXN/MAPRE3/RASGRP1/PLAUR/CCND3/MAPK1/STRADA",27
"GO:0051258","protein polymerization","21/534","316/21273",0.0664556962025316,2.64740079647276,4.73433669937422,5.44292811149461e-05,0.00537421736033644,0.00460504961399834,"CSNK1D/HCLS1/WAS/PRKCD/DAAM2/SVIL/HAUS4/NDEL1/PTK2B/PREX1/MSRB1/GRB2/DNM2/SSH2/HCK/CHMP3/VASP/MAPRE3/NDE1/HAUS2/SLAIN1",21
"GO:0002237","response to molecule of bacterial origin","27/534","467/21273",0.0578158458244111,2.30321439742078,4.56941809661864,5.71238866548747e-05,0.00537421736033644,0.00460504961399834,"C5AR1/TRIB1/LILRA2/RARA/AKIRIN2/FOSL2/PLCG2/MAPK14/SLC11A1/CD55/TLR2/LYN/SIRPA/MYD88/MAPK3/PTPN6/HMGB2/TLR5/FOS/HCK/MAPKAPK2/LITAF/ZFP36/MAPK1/PELI1/TLR1/NFKBIA",27
"GO:0050851","antigen receptor-mediated signaling pathway","19/534","270/21273",0.0703703703703704,2.80334997919268,4.78522232181548,5.71247057979196e-05,0.00537421736033644,0.00460504961399834,"BMX/FOSL2/PLCG2/THEMIS2/PRKD2/INPP5D/LYN/PSEN1/GRB2/PTPN6/NFAM1/PRKCB/PIK3CD/BTNL8/BTN2A1/MAPK1/LAPTM5/UBR2/NFKBIA",19
"GO:0060396","growth hormone receptor signaling pathway","6/534","28/21273",0.214285714285714,8.53651685393258,6.40327579265725,5.72519681740334e-05,0.00537421736033644,0.00460504961399834,"STAT3/PXN/STAT5B/STAT6/LYN/TYK2",6
"GO:0140888","interferon-mediated signaling pathway","12/534","122/21273",0.0983606557377049,3.9184011788543,5.18728774709739,5.87069432689603e-05,0.00539354427734831,0.00462161042755645,"RAF1/RBM47/IFNGR2/ARG1/MYD88/TYK2/IL10RB/PTPN6/FADD/RNF185/HCK/IFNGR1",12
"GO:0042093","T-helper cell differentiation","11/534","104/21273",0.105769230769231,4.21353716508211,5.27145750687996,6.1093088838383e-05,0.00549583245008621,0.00470925893129203,"STAT3/BCL6/STAT6/IL6R/RARA/HLX/IL18R1/SEMA4A/ZBTB7B/PRKCZ/BCL3",11
"GO:0045064","T-helper 2 cell differentiation","5/534","18/21273",0.277777777777778,11.0658551810237,6.85547040952373,6.39217040196315e-05,0.00561536692572578,0.00481168541574464,"BCL6/RARA/HLX/PRKCZ/BCL3",5
"GO:0071706","tumor necrosis factor superfamily cytokine production","18/534","250/21273",0.072,2.86826966292135,4.76807530459305,6.63232314062099e-05,0.00561536692572578,0.00481168541574464,"STAT3/ARRB2/LILRA2/RARA/PLCG2/FCGR2A/TLR2/SIRPA/MYD88/PSEN1/ARHGEF2/PTPN6/FADD/MAPKAPK2/IFNGR1/ZFP36/TLR1/BCL3",18
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","18/534","250/21273",0.072,2.86826966292135,4.76807530459305,6.63232314062099e-05,0.00561536692572578,0.00481168541574464,"STAT3/ARRB2/LILRA2/RARA/PLCG2/FCGR2A/TLR2/SIRPA/MYD88/PSEN1/ARHGEF2/PTPN6/FADD/MAPKAPK2/IFNGR1/ZFP36/TLR1/BCL3",18
"GO:0060333","type II interferon-mediated signaling pathway","6/534","29/21273",0.206896551724138,8.24215420379698,6.26223707788652,7.06657070035193e-05,0.0057572551479471,0.00493326633798154,"RAF1/IFNGR2/ARG1/TYK2/HCK/IFNGR1",6
"GO:0071378","cellular response to growth hormone stimulus","6/534","29/21273",0.206896551724138,8.24215420379698,6.26223707788652,7.06657070035193e-05,0.0057572551479471,0.00493326633798154,"STAT3/PXN/STAT5B/STAT6/LYN/TYK2",6
"GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","11/534","106/21273",0.10377358490566,4.13403646385414,5.19048819562526,7.27944507049328e-05,0.00582085996562777,0.00498776791867132,"STAT3/BCL6/STAT6/IL6R/RARA/HLX/IL18R1/SEMA4A/ZBTB7B/PRKCZ/BCL3",11
"GO:0030217","T cell differentiation","23/534","373/21273",0.0616621983914209,2.45644184715486,4.55360448874655,7.70513755354281e-05,0.00590608036993282,0.00506079142398134,"STAT3/STAT5B/BCL6/VAV1/STAT6/IL6R/RARA/RIPK3/PREX1/FOSL2/HLX/IL18R1/FADD/SMARCD3/CLEC4E/PIK3CD/SEMA4A/GBA1/RASGRP1/CHD7/ZBTB7B/PRKCZ/BCL3",23
"GO:0030593","neutrophil chemotaxis","10/534","89/21273",0.112359550561798,4.47607625299836,5.27304161859711,7.8563487959108e-05,0.00590608036993282,0.00506079142398134,"DAPK2/CSF3R/C5AR1/VAV1/RIPOR2/PREX1/JAML/S100A9/CXCR1/PIK3CD",10
"GO:0002287","alpha-beta T cell activation involved in immune response","11/534","107/21273",0.102803738317757,4.09540060905177,5.15074727605392,7.93313250245724e-05,0.00590608036993282,0.00506079142398134,"STAT3/BCL6/STAT6/IL6R/RARA/HLX/IL18R1/SEMA4A/ZBTB7B/PRKCZ/BCL3",11
"GO:0002293","alpha-beta T cell differentiation involved in immune response","11/534","107/21273",0.102803738317757,4.09540060905177,5.15074727605392,7.93313250245724e-05,0.00590608036993282,0.00506079142398134,"STAT3/BCL6/STAT6/IL6R/RARA/HLX/IL18R1/SEMA4A/ZBTB7B/PRKCZ/BCL3",11
"GO:0032869","cellular response to insulin stimulus","19/534","279/21273",0.0681003584229391,2.71291933470259,4.62138660911644,8.84115511723099e-05,0.00647052674511922,0.00554445320911096,"RAF1/PRKCD/PTPRE/CFLAR/NDEL1/SP1/RAB31/ZNF592/MAPK3/GRB2/GRB10/PRKCB/NUCKS1/INHBB/WDTC1/ZBTB7B/PRKCZ/MAPK1/USF1",19
"GO:0002703","regulation of leukocyte mediated immunity","25/534","428/21273",0.058411214953271,2.32693216423396,4.44990296654165,9.08101070332605e-05,0.00653530070282698,0.0055999566003844,"ARRB2/FGR/STAT5B/WAS/RASGRP4/BCL6/GAB2/VAV1/STAT6/RIPK3/CRK/PLCG2/ARG1/CD55/INPP5D/LYN/ITGAM/GRB2/IL18R1/PTPN6/IL1R1/FADD/RASGRP1/FBXO38/PRKCZ",25
"GO:0043254","regulation of protein-containing complex assembly","27/534","483/21273",0.0559006211180124,2.22691744015633,4.37665733526137,0.000100323630074919,0.00710159728956561,0.00608520379142954,"RAF1/HCLS1/RALB/PRKCD/DAAM2/MEFV/SVIL/HAUS4/PTK2B/PREX1/PLCG2/MYD88/GRB2/SH3GLB1/VPS39/SSH2/H3-3B/HCK/CAND1/VASP/OSBPL2/MAPRE3/GBA1/PRKCZ/HAUS2/VPS8/SLAIN1",27
"GO:0071219","cellular response to molecule of bacterial origin","20/534","307/21273",0.0651465798045603,2.59524942356257,4.51773630692901,0.000106794138076809,0.00725943399590431,0.00622045062177998,"TRIB1/LILRA2/RARA/PLCG2/MAPK14/CD55/TLR2/LYN/SIRPA/MYD88/MAPK3/PTPN6/HMGB2/TLR5/HCK/LITAF/ZFP36/MAPK1/TLR1/NFKBIA",20
"GO:0045639","positive regulation of myeloid cell differentiation","12/534","130/21273",0.0923076923076923,3.67726879861711,4.91316368105221,0.000108783334901705,0.00725943399590431,0.00622045062177998,"STAT3/NEDD9/STAT5B/HCLS1/TRIB1/MAPK14/INPP5D/HMGB2/FOS/FADD/ACIN1/RCOR1",12
"GO:0032496","response to lipopolysaccharide","25/534","433/21273",0.0577367205542725,2.30006227781093,4.38571223974852,0.000109007322602353,0.00725943399590431,0.00622045062177998,"TRIB1/LILRA2/RARA/AKIRIN2/FOSL2/PLCG2/MAPK14/SLC11A1/CD55/TLR2/LYN/SIRPA/MYD88/MAPK3/PTPN6/HMGB2/TLR5/FOS/HCK/MAPKAPK2/LITAF/ZFP36/MAPK1/PELI1/NFKBIA",25
