ID,Description,p.adjust,parent,parentTerm,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,qvalue,geneID,Count,cluster,score,size,term,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0050871,positive regulation of B cell activation,0.0400677218308793,GO:0042113,B cell activation,9/605,89/21273,0.101123595505618,3.55570619370415,4.13365824489449,9.6488217913392e-4,0.0366906224692866,EPHB2/CD40/FCRL3/CD28/IRS2/TNFRSF13C/ADA/MEF2C/BCL2,9,4,1.3972053499657269,86,positive regulation of B cell activation,0.749578125,0.39717647058823524,0.894
GO:0051208,sequestering of calcium ion,0.0400677218308793,GO:0051235,maintenance of location,12/605,146/21273,0.0821917808219178,2.89002603871844,3.92064862844247,9.7165992094284e-4,0.0366906224692866,CXCL10/CXCL9/CD19/CXCL11/DDIT3/PRKCE/ASPH/ANK2/UBASH3B/PLCG1/ATP1A2/ITPR1,12,15,1.3972053499657269,138,sequestering of calcium ion,0.9025546875,0.1781666666666667,0.97
GO:0033260,nuclear DNA replication,0.040417284503487,GO:0044786,cell cycle DNA replication,6/605,41/21273,0.146341463414634,5.1456561177182,4.54592611826783,9.9465547387979e-4,0.0370107223268262,BRCA2/PCNA/GINS1/MCM6/MCM3/FEN1,6,18,1.3934328685735033,41,nuclear DNA replication,0.967375,0.3543333333333334,0.994
GO:0010959,regulation of metal ion transport,0.040417284503487,GO:0097553,calcium ion transmembrane import into cytosol,25/605,444/21273,0.0563063063063063,1.97984141165959,3.56981482261052,0.00100361913466859,0.0370107223268262,CCL2/CXCL10/MS4A1/FCRL3/CXCL9/CD19/SIK1/PML/CXCL11/TSPAN13/PRKCE/P2RX5/ASPH/ATP1B3/TMC2/CCR1/ANK2/UBASH3B/PLCG1/HEPH/CXCL12/NKAIN1/ATP1A2/BCL2/CAMK2G,25,13,1.3934328685735033,403,regulation of metal ion transport,0.8643671875,0.24491666666666667,0.727
GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,0.040417284503487,GO:0097193,intrinsic apoptotic signaling pathway,7/605,56/21273,0.125,4.3952479338843,4.35267400726502,0.00100686797815124,0.0370107223268262,IFI16/BRCA2/PML/AEN/SHISA5/BCL2/ELL3,7,10,1.3934328685735033,47,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,0.8239531250000001,0.4696666666666667,0.839
GO:0002685,regulation of leukocyte migration,0.0408755895601076,GO:0030595,leukocyte chemotaxis,18/605,277/21273,0.0649819494584837,2.2848942327774,3.68274463351876,0.00103273087679552,0.037430399239809,CCL2/STAP1/CXCL13/CXCL10/CCR6/CCL8/CD200/CCL7/SWAP70/ADA/CCR1/DAPK2/MAPK1/CXCL12/SLAMF8/ABL2/PIK3R1/CCL28,18,14,1.3885359703352051,236,regulation of leukocyte migration,0.7826796874999999,0.28625,0.882
GO:0032727,positive regulation of interferon-alpha production,0.0408755895601076,GO:0032606,type I interferon production,5/605,28/21273,0.178571428571429,6.27892561983471,4.78221187824045,0.0010453193097382,0.037430399239809,IFIH1/RIGI/IRF7/TLR7/STAT1,5,6,1.3885359703352051,25,positive regulation of interferon-alpha production,0.845984375,0.2249,0.877
GO:0048245,eosinophil chemotaxis,0.0408755895601076,GO:0030595,leukocyte chemotaxis,5/605,28/21273,0.178571428571429,6.27892561983471,4.78221187824045,0.0010453193097382,0.037430399239809,CCL2/CCL8/CCL7/CCL13/DAPK2,5,14,1.3885359703352051,21,eosinophil chemotaxis,0.7807265624999999,0.30825,0.816
GO:0002688,regulation of leukocyte chemotaxis,0.0424169096552929,GO:0030595,leukocyte chemotaxis,12/605,148/21273,0.0810810810810811,2.85097163278981,3.86602701913276,0.00109408695539446,0.0388418095005536,CCL2/STAP1/CXCL13/CXCL10/CCR6/CCL7/SWAP70/CCR1/DAPK2/MAPK1/CXCL12/SLAMF8,12,14,1.3724609758134059,127,regulation of leukocyte chemotaxis,0.700296875,0.24050000000000005,0.934
GO:0048247,lymphocyte chemotaxis,0.0430592634279356,GO:0030595,leukocyte chemotaxis,7/605,57/21273,0.12280701754386,4.31813832100913,4.29173387161695,0.00112014838723466,0.0394300226229077,CCL2/CXCL13/CXCL10/CXCL11/CCL7/CXCL12/SAA1,7,14,1.3659334034934674,47,lymphocyte chemotaxis,0.770765625,0.30200000000000005,0.864
