"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000134954",42.1666666666667,9.31460674157303,32.8520599250936,9.7072410549463e-10,FALSE,0.00137275296748417,0.0328494523247224,"ETS1","ETS proto-oncogene 1, transcription factor"
"ENSG00000170837",2.5,0.625468164794007,1.87453183520599,0.000280432223070244,FALSE,0.00137368318431005,0.0328494523247224,"GPR27","G protein-coupled receptor 27"
"ENSG00000187554",99.7083333333333,23.9962546816479,75.7120786516854,2.08084173021164e-09,FALSE,0.00137498978549507,0.0328494523247224,"TLR5","toll like receptor 5"
"ENSG00000135596",10.5416666666667,3.65543071161049,6.88623595505618,0.000669323733306914,FALSE,0.00137914190047816,0.0329042440217854,"MICAL1","microtubule associated monooxygenase, calponin and LIM domain containing 1"
"ENSG00000100906",275.916666666667,41.7265917602996,234.190074906367,4.05637454479645e-17,FALSE,0.0013938512870113,0.0332104297899879,"NFKBIA","NFKB inhibitor alpha"
"ENSG00000113368",88.5416666666667,23.3445692883895,65.1970973782772,2.4973829133842e-06,FALSE,0.00140142522863111,0.0333460091699685,"LMNB1","lamin B1"
"ENSG00000124731",1.375,0.539325842696629,0.835674157303371,0.188637599888218,TRUE,0.0014159248766553,0.033492731893358,"TREM1","triggering receptor expressed on myeloid cells 1"
"ENSG00000100504",21.9583333333333,5.91385767790262,16.0444756554307,0.000704157897425648,FALSE,0.00141891591686178,0.033492731893358,"PYGL","glycogen phosphorylase L"
"ENSG00000092203",66.7916666666667,15.565543071161,51.2261235955056,6.20677916366347e-09,FALSE,0.00141985441951437,0.033492731893358,"TOX4","TOX high mobility group box family member 4"
"ENSG00000169228",25.5,7.04119850187266,18.4588014981273,1.23899003523534e-06,FALSE,0.00142090851189942,0.033492731893358,"RAB24","RAB24, member RAS oncogene family"
"ENSG00000183621",15.125,3.16479400749064,11.9602059925094,4.89221033295662e-08,FALSE,0.00142113314925575,0.033492731893358,"ZNF438","zinc finger protein 438"
"ENSG00000138095",32.4583333333333,7.05243445692884,25.4058988764045,1.36910834138114e-10,FALSE,0.0014230305149517,0.033492731893358,"LRPPRC","leucine rich pentatricopeptide repeat containing"
"ENSG00000155530",57.625,135.25468164794,-77.6296816479401,0.0408682520074311,FALSE,0.00142581791588266,0.033492731893358,"LRGUK","leucine rich repeats and guanylate kinase domain containing"
"ENSG00000163466",28,5.68164794007491,22.3183520599251,4.13088768212341e-09,FALSE,0.00142589955234932,0.033492731893358,"ARPC2","actin related protein 2/3 complex subunit 2"
