"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000109466",23.7083333333333,3.17699115044248,20.5313421828909,1.17141503025085e-15,FALSE,0.00010549908377429,0.00650548550878137,"KLHL2","kelch like family member 2"
"ENSG00000197555",18.0416666666667,2.64159292035398,15.4000737463127,1.15597111050474e-14,FALSE,0.000105750808248297,0.00650548550878137,"SIPA1L1","signal induced proliferation associated 1 like 1"
"ENSG00000160712",8.08333333333333,1.82300884955752,6.26032448377581,1.79115661235022e-05,FALSE,0.000108393949545233,0.00662971038203157,"IL6R","interleukin 6 receptor"
"ENSG00000123405",11.7916666666667,2.84070796460177,8.9509587020649,0.000290614747322685,FALSE,0.000108712431024568,0.00662971038203157,"NFE2","nuclear factor, erythroid 2"
"ENSG00000198373",95.0416666666667,15.1150442477876,79.9266224188791,5.68350335325527e-10,FALSE,0.000108877390341219,0.00662971038203157,"WWP2","WW domain containing E3 ubiquitin protein ligase 2"
"ENSG00000113719",36.9166666666667,4.9070796460177,32.009587020649,2.12090687124894e-18,FALSE,0.000111170472307336,0.00674647025019149,"ERGIC1","endoplasmic reticulum-golgi intermediate compartment 1"
"ENSG00000100266",16.625,2.78761061946903,13.837389380531,7.86467114417428e-09,FALSE,0.000112471385850728,0.00680243604052734,"PACSIN2","protein kinase C and casein kinase substrate in neurons 2"
"ENSG00000131759",63.375,14.9469026548673,48.4280973451327,2.98694460035977e-07,FALSE,0.000115256651570846,0.00694750077908426,"RARA","retinoic acid receptor alpha"
"ENSG00000047457",2.33333333333333,13.287610619469,-10.9542772861357,0.0449279161833618,FALSE,0.000116680773848881,0.00699061204737206,"CP","ceruloplasmin"
"ENSG00000158796",3.29166666666667,0.398230088495575,2.89343657817109,6.54759985547774e-15,FALSE,0.000117012662307612,0.00699061204737206,"DEDD","death effector domain containing"
"ENSG00000173110",125.708333333333,37.429203539823,88.2791297935103,0.0336760745426768,FALSE,0.000117485105814031,0.00699061204737206,"HSPA6","heat shock protein family A (Hsp70) member 6"
"ENSG00000204577",5.16666666666667,1.03982300884956,4.12684365781711,0.000175799293855666,FALSE,0.000117528521867526,0.00699061204737206,"LILRB3","leukocyte immunoglobulin like receptor B3"
"ENSG00000079277",13.2916666666667,1.74778761061947,11.5438790560472,1.11943348995582e-12,FALSE,0.000118123826808699,0.00700283267645104,"MKNK1","MAPK interacting serine/threonine kinase 1"
"ENSG00000181192",17.9166666666667,2.82300884955752,15.0936578171091,1.21195518497467e-12,FALSE,0.000119131920777611,0.00703936412147443,"DHTKD1","dehydrogenase E1 and transketolase domain containing 1"
"ENSG00000100461",21.8333333333333,3.85840707964602,17.9749262536873,1.03991497583537e-08,FALSE,0.000120342950236064,0.00705773881020776,"RBM23","RNA binding motif protein 23"
"ENSG00000152213",72.7916666666667,15.2256637168142,57.5660029498525,6.88078567813499e-07,FALSE,0.000120952069799337,0.00705773881020776,"ARL11","ARF like GTPase 11"
