"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000112149",2.604,1.09737827715356,1.50662172284644,1.58566861158591e-05,FALSE,2.34572881508971e-05,0.00209455003157293,"CD83","CD83 molecule"
"ENSG00000155313",13.124,5.59550561797753,7.52849438202247,1.60900675477106e-05,FALSE,2.36353096799087e-05,0.00210004965860351,"USP25","ubiquitin specific peptidase 25"
"ENSG00000181374",3.5,0.876404494382023,2.62359550561798,1.76105321132036e-05,FALSE,2.77084397844426e-05,0.00244988788427447,"CCL13","C-C motif chemokine ligand 13"
"ENSG00000104213",10.34,5.06741573033708,5.27258426966292,4.71347774326118e-06,FALSE,2.83750614010638e-05,0.00249659015849262,"PDGFRL","platelet derived growth factor receptor like"
"ENSG00000187922",4.42,2.01123595505618,2.40876404494382,2.03516948054905e-05,FALSE,2.96025279762538e-05,0.00259194561702762,"LCN10","lipocalin 10"
"ENSG00000135899",10.5,5.15355805243446,5.34644194756554,2.88208860121993e-05,FALSE,3.10132008128814e-05,0.00270234349305286,"SP110","SP110 nuclear body protein"
"ENSG00000155629",8.032,3.67415730337079,4.35784269662921,2.22883459780738e-05,FALSE,3.1433339312744e-05,0.00272578433261521,"PIK3AP1","phosphoinositide-3-kinase adaptor protein 1"
"ENSG00000168062",14.476,6.7565543071161,7.7194456928839,1.50926288625041e-05,FALSE,3.34261148899351e-05,0.00288472169507062,"BATF2","basic leucine zipper ATF-like transcription factor 2"
"ENSG00000175197",20.14,9.26591760299626,10.8740823970037,1.61633682174489e-05,FALSE,3.39073909674852e-05,0.00290316349610136,"DDIT3","DNA damage inducible transcript 3"
"ENSG00000111224",0.968,0.288389513108614,0.679610486891386,1.88304113276119e-05,FALSE,3.39617174517595e-05,0.00290316349610136,"PARP11","poly(ADP-ribose) polymerase family member 11"
"ENSG00000078098",8.336,4.58426966292135,3.75173033707865,2.44111239648406e-07,FALSE,3.48407477147831e-05,0.00296425738929973,"FAP","fibroblast activation protein alpha"
"ENSG00000144031",6.236,10.2434456928839,-4.0074456928839,0.000817393116065528,FALSE,3.51070728433002e-05,0.00297289329988078,"ANKRD53","ankyrin repeat domain 53"
"ENSG00000198785",7.904,3.70786516853933,4.19613483146067,2.3630442197089e-05,FALSE,3.5536338475089e-05,0.00299518194894944,"GRIN3A","glutamate ionotropic receptor NMDA type subunit 3A"
"ENSG00000100307",10.016,4.62172284644195,5.39427715355805,3.05868543867361e-05,FALSE,3.61410184214935e-05,0.00303197929892315,"CBX7","chromobox 7"
"ENSG00000164611",3.464,1.31460674157303,2.14939325842697,2.47171775776354e-05,FALSE,3.81682445623396e-05,0.00318722512579129,"PTTG1","PTTG1 regulator of sister chromatid separation, securin"
"ENSG00000108091",3.64,1.59176029962547,2.04823970037453,2.57501130834253e-05,FALSE,3.9104500630606e-05,0.00325035888421309,"CCDC6","coiled-coil domain containing 6"
"ENSG00000168394",20.248,9.65917602996255,10.5888239700375,1.58019511581292e-05,FALSE,4.00793290088572e-05,0.00331610485015026,"TAP1","transporter 1, ATP binding cassette subfamily B member"
"ENSG00000183695",0.176,0.434456928838951,-0.258456928838951,5.05970013965235e-05,FALSE,4.16362199754571e-05,0.0034291894963348,"MRGPRX2","MAS related GPR family member X2"
"ENSG00000130054",1.92,0.880149812734082,1.03985018726592,2.74371824415253e-05,FALSE,4.28530410241178e-05,0.00351336500432733,"NALF2","NALCN channel auxiliary factor 2"
"ENSG00000170456",1.572,0.550561797752809,1.02143820224719,2.84574255067015e-05,FALSE,4.55492371765277e-05,0.00371751851109968,"DENND5B","DENN domain containing 5B"
"ENSG00000144550",2.056,3.60299625468165,-1.54699625468165,2.39842820592541e-05,FALSE,4.99372971674008e-05,0.00404732796401448,"CPNE9","copine family member 9"
"ENSG00000117475",2.04,0.891385767790262,1.14861423220974,3.49097782424386e-05,FALSE,5.00390384196502e-05,0.00404732796401448,"BLZF1","basic leucine zipper nuclear factor 1"
"ENSG00000132465",9.228,4.25468164794007,4.97331835205993,3.62156592515545e-05,FALSE,5.25948371360625e-05,0.00422036686258118,"JCHAIN","joining chain of multimeric IgA and IgM"
"ENSG00000107566",5.42,1.812734082397,3.607265917603,3.24384086982231e-05,FALSE,5.26463682475337e-05,0.00422036686258118,"ERLIN1","ER lipid raft associated 1"
"ENSG00000143337",4.296,1.86516853932584,2.43083146067416,3.54406005018604e-05,FALSE,5.40879201899052e-05,0.00431674255073151,"TOR1AIP1","torsin 1A interacting protein 1"
"ENSG00000183760",8.94,18.5056179775281,-9.56561797752809,0.000260250979174019,FALSE,5.92303869818099e-05,0.00470633696031235,"ACP7","acid phosphatase 7, tartrate resistant (putative)"
"ENSG00000130741",13.892,31.2284644194757,-17.3364644194757,7.10877307177983e-05,FALSE,6.06319938750475e-05,0.0047784358025657,"EIF2S3","eukaryotic translation initiation factor 2 subunit gamma"
"ENSG00000168081",7.64,3.9063670411985,3.7336329588015,1.7130585252424e-05,FALSE,6.06676164987273e-05,0.0047784358025657,"PNOC","prepronociceptin"
"ENSG00000157510",0.604,1.23220973782772,-0.628209737827715,7.91310911492241e-05,FALSE,6.22957061250694e-05,0.00487080540575107,"AFAP1L1","actin filament associated protein 1 like 1"
"ENSG00000180801",5.46,9.31460674157303,-3.85460674157303,4.57556390075629e-05,FALSE,6.23804429078282e-05,0.00487080540575107,"ARSJ","arylsulfatase family member J"
"ENSG00000137693",31.312,54.8052434456929,-23.4932434456929,0.00120395338091004,FALSE,6.71634428065934e-05,0.00522166818061433,"YAP1","Yes1 associated transcriptional regulator"
"ENSG00000085449",28.572,12.0112359550562,16.5607640449438,3.88735311502304e-05,FALSE,6.81316765928517e-05,0.00527421051804835,"WDFY1","WD repeat and FYVE domain containing 1"
"ENSG00000171132",28.456,13.4831460674157,14.9728539325843,4.81367255032838e-05,FALSE,6.97952338354283e-05,0.00537990013969923,"PRKCE","protein kinase C epsilon"
"ENSG00000102385",2.872,4.77902621722846,-1.90702621722846,0.000108133829211437,FALSE,7.17904465967134e-05,0.00548907244176944,"DRP2","dystrophin related protein 2"
"ENSG00000136827",3.628,1.62921348314607,1.99878651685393,4.72224753916533e-05,FALSE,7.18202082529017e-05,0.00548907244176944,"TOR1A","torsin family 1 member A"
