gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
BLK,ENMD-981693,CHEMBL52885,SRC inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
BLK,DASATINIB ANHYDROUS,CHEMBL1421,SRC inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
BLK,TG100-801,CHEMBL403989,SRC inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
BLK,ILORASERTIB,CHEMBL1980297,SRC inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
BLK,XL-228,CHEMBL3545085,SRC inhibitor,0.24811092274066143,1.0814155048897627e-8,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
CCL2,Mimosine,DB01055,inhibitor,0.24727617559303433,1.2151851488577095e-8,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CCL2,Danazol,DB01406,inhibitor,0.24727617559303433,1.2151851488577095e-8,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CCL2,Chondroitin sulfate,DB09301,NA,0.24727617559303433,1.2151851488577095e-8,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CCL2,Bindarit,DB12739,inhibitor,0.24727617559303433,1.2151851488577095e-8,HALLMARK_INFLAMMATORY_RESPONSE,DrugBank
CCL2,CARLUMAB,CHEMBL1742999,C-C motif chemokine 2 inhibitor,0.24727617559303433,1.2151851488577095e-8,HALLMARK_INFLAMMATORY_RESPONSE,ChEMBL
LY6E,RG-7841,CHEMBL4297935,Lymphocyte antigen 6E binding agent,0.24604351450935227,1.4424512577448999e-8,HALLMARK_IL6_JAK_STAT3_SIGNALING,ChEMBL
CMTR1,Ademetionine,DB00118,NA,0.2460067858866581,1.4498183941401487e-8,HALLMARK_APOPTOSIS,DrugBank
SLC7A3,Lysine,DB00123,NA,-0.24566997945711067,1.5190974344469253e-8,HALLMARK_XENOBIOTIC_METABOLISM,DrugBank
SLC7A3,Arginine,DB00125,NA,-0.24566997945711067,1.5190974344469253e-8,HALLMARK_XENOBIOTIC_METABOLISM,DrugBank
SLC7A3,Fluciclovine (18F),DB13146,binder,-0.24566997945711067,1.5190974344469253e-8,HALLMARK_XENOBIOTIC_METABOLISM,DrugBank
SLC7A3,Lysine,DB00123,NA,-0.24359510346967053,2.0221532437457088e-8,HALLMARK_COAGULATION,DrugBank
SLC7A3,Arginine,DB00125,NA,-0.24359510346967053,2.0221532437457088e-8,HALLMARK_COAGULATION,DrugBank
SLC7A3,Fluciclovine (18F),DB13146,binder,-0.24359510346967053,2.0221532437457088e-8,HALLMARK_COAGULATION,DrugBank
CCL2,Mimosine,DB01055,inhibitor,0.24347967646959767,2.054432543499574e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CCL2,Danazol,DB01406,inhibitor,0.24347967646959767,2.054432543499574e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
