pathway,symbol,gene,rho,p_val,padj
HALLMARK_INTERFERON_GAMMA_RESPONSE,CXCL10,ENSG00000169245,0.21772531781780075,5.772840548420791e-7,4.009783840389577e-6
HALLMARK_INTERFERON_ALPHA_RESPONSE,CXCL11,ENSG00000169248,0.21648241851774605,6.714921474287256e-7,4.601959517044866e-6
HALLMARK_INFLAMMATORY_RESPONSE,BST2,ENSG00000130303,0.21509891089773558,7.937154775447818e-7,5.368023098131814e-6
HALLMARK_INFLAMMATORY_RESPONSE,IFITM1,ENSG00000185885,0.2134390793498726,9.686418621840395e-7,6.465998924189562e-6
HALLMARK_INTERFERON_ALPHA_RESPONSE,BST2,ENSG00000130303,0.21284727379895435,1.039531967685179e-6,6.837608432500528e-6
HALLMARK_INFLAMMATORY_RESPONSE,CXCL10,ENSG00000169245,0.21275586121484028,1.0509164711430773e-6,6.837608432500528e-6
HALLMARK_MITOTIC_SPINDLE,BIRC5,ENSG00000089685,0.21223518691848525,1.1180778212495548e-6,7.088812288314621e-6
HALLMARK_INTERFERON_ALPHA_RESPONSE,SP110,ENSG00000135899,0.21220922737404882,1.121531892771707e-6,7.088812288314621e-6
HALLMARK_INTERFERON_GAMMA_RESPONSE,TDRD7,ENSG00000196116,0.21213920424683164,1.1309000148673131e-6,7.088812288314621e-6
HALLMARK_APICAL_JUNCTION,AMH,ENSG00000104899,0.21166773839608308,1.1959582426645933e-6,7.406295623248204e-6
HALLMARK_INTERFERON_ALPHA_RESPONSE,DHX58,ENSG00000108771,0.2104355626641792,1.3833819826300917e-6,8.464980227046038e-6
HALLMARK_INTERFERON_ALPHA_RESPONSE,ISG15,ENSG00000187608,0.20875396401656815,1.6850866360621466e-6,1.0189818011011097e-5
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CXCL11,ENSG00000169248,0.2080193623310818,1.8358275458208934e-6,1.097227161106906e-5
