"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"HP_TRACHEOESOPHAGEAL_FISTULA",-0.000301530532383465,0.27664044587707,-0.53350896338945,0.594156370060262,0.703089462061845,-9.48179277801521
"GOMF_EXTRACELLULAR_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY",0.000545761589623685,-0.0172191414656696,0.533486880479703,0.594171629698407,0.703089462061845,-9.48180459244483
"GOBP_PYRIMIDINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT",-0.000538469522417741,0.18706640879435,-0.533082803265889,0.594450885238526,0.703345424783491,-9.48202068894097
"HP_ABNORMAL_CIRCULATING_INTERLEUKIN_CONCENTRATION",-0.000316428768971894,0.452043724792138,-0.532972740459977,0.594526959494499,0.703360957691004,-9.48207952113153
"HP_ABNORMAL_SPINAL_MENINGEAL_MORPHOLOGY",0.000465688564953104,0.237733065133666,0.532526306940871,0.594835575542314,0.703597419527189,-9.48231803024722
"GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS",-0.00031251690069603,0.35398822328393,-0.53250144099702,0.59485276734145,0.703597419527189,-9.4823313091267
"GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION",0.000336966493299971,0.11104902101886,0.532189032722879,0.595068779408184,0.703778423063828,-9.48249808828067
"GOMF_RNA_ENDONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS_HYDROLYTIC_MECHANISM",0.000348341489066498,0.341852486436653,0.531969593967341,0.595220530022519,0.703883395329837,-9.48261517727192
"GOBP_LYMPHOCYTE_DIFFERENTIATION",-0.000249471162478726,0.40784477763913,-0.531454477481612,0.595576823323771,0.704230203578817,-9.48288984584931
"GOBP_RECEPTOR_CATABOLIC_PROCESS",0.000321401378503089,0.380480580797546,0.531033382810368,0.595868156747303,0.704500135805138,-9.48311418322228
"GOBP_HEPATIC_STELLATE_CELL_ACTIVATION",-0.000739619972670191,0.200954989616967,-0.530630808537685,0.59614673796801,0.704754935469164,-9.4833284880007
"GOBP_ACTION_POTENTIAL_PROPAGATION",0.000775185434212441,0.103472565900887,0.530349986347216,0.596341102142988,0.704910131740796,-9.48347788375125
"HP_ABNORMAL_DENTAL_PULP_MORPHOLOGY",0.000332615471667561,0.282577317696322,0.530220647417446,0.596430630669243,0.704941386407671,-9.48354666475957
"GOBP_RETROGRADE_AXONAL_TRANSPORT",-0.000384165130718733,0.337133877391132,-0.528794086135303,0.597418505965516,0.70603430837215,-9.48430418378641
"GOMF_DNA_NUCLEASE_ACTIVITY",-0.000358050890587852,0.322045462434537,-0.527503412479427,0.598312925081669,0.706975823382882,-9.48498779048066
"GOCC_ACTOMYOSIN",0.000470027151687064,0.324951997748988,0.52746187746311,0.598341718429561,0.706975823382882,-9.4850097618634
"HP_CUTANEOUS_MELANOMA",0.000288725552976529,0.34216629198122,0.527008640166961,0.598655957541649,0.707268009189889,-9.4852494052062
"HP_ABNORMALITY_OF_THE_MIDDLE_PHALANX_OF_THE_2ND_FINGER",0.00045828178624794,0.164784933296483,0.526922630166214,0.598715598615282,0.707268009189889,-9.48529485867407
"GOBP_RESPONSE_TO_PROGESTERONE",-0.000434865998824668,0.287392794681737,-0.526682145664964,0.598882369816034,0.707390232592428,-9.48542190757244
"GOCC_FAR_SIN_STRIPAK_COMPLEX",0.000630550283614223,0.420737400680872,0.525881658374593,0.599437644358571,0.707971275558892,-9.48584439122194
"GOBP_PIRNA_PROCESSING",-0.00053989150500456,0.123715963901928,-0.525441707923859,0.599742924939782,0.70825696927469,-9.48607631658908
"HP_LIMITED_HIP_MOVEMENT",0.000489002531401203,0.207655114888576,0.525345165330986,0.599809925089669,0.70826123881982,-9.48612718430729
"GOCC_BRUSH_BORDER_MEMBRANE",0.000368698121223303,0.176681461873425,0.523844898624937,0.600851541524812,0.709416221998969,-9.48691646732197
"GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",-0.000220534488753629,0.239344286058306,-0.523200760859839,0.601299010445193,0.709869534359702,-9.48725465396797
